889: 1089  2026-05-26 18:45:13 cat exposuregal02.txt 
890: 1090  2026-05-26 18:45:26 cat /etc/passwd
891: 1091  2026-05-26 18:45:43 cat /etc/passwd | grep -E 'gal02'
892: 1092  2026-05-26 18:47:35 cat /etc/passwd | grep -E 'gal02' | cut -d ':' -f8
893: 1093  2026-05-26 18:47:38 cat /etc/passwd | grep -E 'gal02' | cut -d ':' -f7
894: 1094  2026-05-26 18:47:51 cat /etc/passwd | grep -E 'gal02' | cut -d ':' -f1
895: 1095  2026-05-26 18:49:56 clear
896: 1096  2026-05-26 18:50:31 find --help
897: 1097  2026-05-26 18:50:58 find -type --help
898: 1098  2026-05-26 18:51:01 find -type 
899: 1099  2026-05-26 18:51:04 find -type f
900: 1100  2026-05-26 18:51:10 find -type d
901: 1101  2026-05-26 18:51:19 find -type -f /etc
902: 1102  2026-05-26 18:51:23 find -type f /etc
903: 1103  2026-05-26 18:52:01 find /etc/ --help
904: 1104  2026-05-26 18:52:25 find /etc/ -type f
905: 1105  2026-05-26 18:52:37 find /etc/ -type d
906: 1106  2026-05-26 18:53:10 find /etc/ -type f 
907: 1107  2026-05-26 18:53:35 find /etc/ -type f | grep -E '(\.conf)$'
908: 1108  2026-05-26 18:54:01 find /etc/ -type f 2> /dev/null | grep -E '(\.conf)$'
909: 1109  2026-05-26 18:54:11 find /etc/ -type f 2> /dev/null | grep -E '(\.conf)$' | wc -l
910: 1110  2026-05-26 18:56:10 find /home/gal02 -type f | grep -E '(\.sh)$'
911: 1111  2026-05-26 19:01:06 find /home/gal02 -type f -name ".sh"
912: 1112  2026-05-26 19:01:14 find /home/gal02 -type f -name "*.sh"
913: 1113  2026-05-26 19:02:56 clear
914: 1114  2026-05-26 19:03:03 ./part1gal02.sh 
915: 1115  2026-05-26 19:03:10 cat exposuregal02.txt 
916: 1116  2026-05-26 19:04:48 ls -l
917: 1117  2026-05-26 19:04:52 clear
918: 1118  2026-05-26 19:07:38 sudo chmod +x part2gal02.sh 
919: 1119  2026-05-26 19:07:43 ./part2gal02.sh 
920: 1120  2026-05-26 19:09:14 cat processgal02.html 
921: 1121  2026-05-26 19:11:06 ./part2gal02.sh 
922: 1122  2026-05-26 19:11:08 cat processgal02.html 
923: 1123  2026-05-26 19:11:26 ./part2gal02.sh 
924: 1124  2026-05-26 19:11:26 cat processgal02.html 
925: 1125  2026-05-26 19:12:29 ./part2gal02.sh 
926: 1126  2026-05-26 19:12:48 cat processgal02.html 
927: 1127  2026-05-26 19:14:19 ./part2gal02.sh 
928: 1128  2026-05-26 19:14:20 cat processgal02.html 
929: 1129  2026-05-26 19:14:49 ./part2gal02.sh 
930: 1130  2026-05-26 19:14:50 cat processgal02.html 
931: 1131  2026-05-26 19:16:12 ./part2gal02.sh 
932: 1132  2026-05-26 19:16:13 cat processgal02.html 
933: 1133  2026-05-26 19:17:45 ./part2gal02.sh 
934: 1134  2026-05-26 19:17:55 cat processgal02.html 
935: 1135  2026-05-26 19:19:07 ./part2gal02.sh 
936: 1136  2026-05-26 19:19:09 cat processgal02.html 
937: 1137  2026-05-26 19:19:58 ./part2gal02.sh 
938: 1138  2026-05-26 19:19:59 cat processgal02.html 
939: 1139  2026-05-26 19:20:10 id
940: 1140  2026-05-26 19:20:56 id | cut -d ' ' -f1,2
941: 1141  2026-05-26 19:22:07 ./part2gal02.sh 
942: 1142  2026-05-26 19:22:10 cat processgal02.html 
943: 1143  2026-05-26 19:22:41 uname --help
944: 1144  2026-05-26 19:23:28 ./part2gal02.sh 
945: 1145  2026-05-26 19:23:36 cat processgal02.html 
946: 1146  2026-05-26 19:24:09 ./part2gal02.sh 
947: 1147  2026-05-26 19:24:10 cat processgal02.html 
948: 1148  2026-05-26 19:25:00 ./part2gal02.sh 
949: 1149  2026-05-26 19:25:01 cat processgal02.html 
950: 1150  2026-05-26 19:25:19 ps aux
951: 1151  2026-05-26 19:25:27 ps aux | grep -E 'gal02'
952: 1152  2026-05-26 19:25:35 ps -aux | grep -E 'gal02'
953: 1153  2026-05-26 19:25:39 ps -aux 
954: 1154  2026-05-26 19:25:53 ps -aux | grep -E '^gal02'
955: 1155  2026-05-26 19:26:09 ps -aux | grep -E '^gal02' | wc -l
956: 1156  2026-05-26 19:26:18 ps -ax | grep -E '^gal02' | wc -l
957: 1157  2026-05-26 19:27:23 ./part2gal02.sh 
958: 1158  2026-05-26 19:27:26 cat processgal02.html 
959: 1159  2026-05-26 19:27:48 ps -ax | uniq 
960: 1160  2026-05-26 19:27:57 uniq --help
961: 1161  2026-05-26 19:28:02 ps -ax | uniq -c
962: 1162  2026-05-26 19:28:39 ps -ax | uniq | wc -l
963: 1163  2026-05-26 19:30:00 ./part2gal02.sh 
964: 1164  2026-05-26 19:30:02 cat processgal02.html 
965: 1165  2026-05-26 19:30:19 cat /etc/
966: 1166  2026-05-26 19:30:46 find -type f /etc/ -name '*.conf'
967: 1167  2026-05-26 19:31:08 find /etc/ -type f
968: 1168  2026-05-26 19:31:17 find /etc/ -type f -name '*.conf'
969: 1169  2026-05-26 19:31:23 find /etc/ -type f -name '*.conf' | wc -l
970: 1170  2026-05-26 19:31:34 find /etc -type f -name '*.conf' | wc -l
971: 1171  2026-05-26 19:32:16 find /etc -type f | grep -E '\.conf$' | wc -l
972: 1172  2026-05-26 19:33:15 ./part2gal02.sh 
973: 1173  2026-05-26 19:33:48 cat exposuregal02.txt 
974: 1174  2026-05-26 19:34:16 ./part2gal02.sh 
975: 1175  2026-05-26 19:34:23 cat processgal02.html 
976: 1176  2026-05-26 19:34:52 clear
977: 1177  2026-05-26 19:35:22 find /var/log/ -type f -name '*.log' | wc -l
978: 1178  2026-05-26 19:35:37 find /var/log/ -type f -name '*.log' 2> /dev/null | wc -l
979: 1179  2026-05-26 19:36:32 ./part2gal02.sh 
980: 1180  2026-05-26 19:36:34 cat processgal02.html 
981: 1181  2026-05-26 19:36:53 tail --help
982: 1182  2026-05-26 19:37:19 tail -n 5 /etc/passwd
983: 1183  2026-05-26 19:38:26 ./part2gal02.sh 
984: 1184  2026-05-26 19:38:28 cat processgal02.html 
985: 1185  2026-05-26 19:38:53 clear
986: 1186  2026-05-26 19:39:03 cat /etc/passwd
987: 1187  2026-05-26 19:39:15 cat /etc/passwd | grep -E '^gal02'
988: 1188  2026-05-26 19:39:42 cat /etc/passwd | grep -E '^gal02' | cut -d ':' -f2
989: 1189  2026-05-26 19:40:47 ./part2gal02.sh 
990: 1190  2026-05-26 19:40:50 cat processgal02.html 
991: 1191  2026-05-26 19:41:42 ./part2gal02.sh 
992: 1192  2026-05-26 19:41:49 cat processgal02.html 
993: 1193  2026-05-26 19:42:23 ./part2gal02.sh 
994: 1194  2026-05-26 19:42:26 cat processgal02.html 
995: 1195  2026-05-26 19:42:46 clear
996: 1196  2026-05-26 19:42:49 ./part2gal02.sh 
997: 1197  2026-05-26 19:42:54 cat processgal02.html 
998: 1198  2026-05-26 19:46:50 clear
999: 1199  2026-05-26 19:46:52 history 
1000: 1200  2026-05-26 19:48:28 history | grep -n '2026-05-26' > loggal02.txt
