881: 1089  2026-05-26 18:45:13 cat exposuregal02.txt 
882: 1090  2026-05-26 18:45:26 cat /etc/passwd
883: 1091  2026-05-26 18:45:43 cat /etc/passwd | grep -E 'gal02'
884: 1092  2026-05-26 18:47:35 cat /etc/passwd | grep -E 'gal02' | cut -d ':' -f8
885: 1093  2026-05-26 18:47:38 cat /etc/passwd | grep -E 'gal02' | cut -d ':' -f7
886: 1094  2026-05-26 18:47:51 cat /etc/passwd | grep -E 'gal02' | cut -d ':' -f1
887: 1095  2026-05-26 18:49:56 clear
888: 1096  2026-05-26 18:50:31 find --help
889: 1097  2026-05-26 18:50:58 find -type --help
890: 1098  2026-05-26 18:51:01 find -type 
891: 1099  2026-05-26 18:51:04 find -type f
892: 1100  2026-05-26 18:51:10 find -type d
893: 1101  2026-05-26 18:51:19 find -type -f /etc
894: 1102  2026-05-26 18:51:23 find -type f /etc
895: 1103  2026-05-26 18:52:01 find /etc/ --help
896: 1104  2026-05-26 18:52:25 find /etc/ -type f
897: 1105  2026-05-26 18:52:37 find /etc/ -type d
898: 1106  2026-05-26 18:53:10 find /etc/ -type f 
899: 1107  2026-05-26 18:53:35 find /etc/ -type f | grep -E '(\.conf)$'
900: 1108  2026-05-26 18:54:01 find /etc/ -type f 2> /dev/null | grep -E '(\.conf)$'
901: 1109  2026-05-26 18:54:11 find /etc/ -type f 2> /dev/null | grep -E '(\.conf)$' | wc -l
902: 1110  2026-05-26 18:56:10 find /home/gal02 -type f | grep -E '(\.sh)$'
903: 1111  2026-05-26 19:01:06 find /home/gal02 -type f -name ".sh"
904: 1112  2026-05-26 19:01:14 find /home/gal02 -type f -name "*.sh"
905: 1113  2026-05-26 19:02:56 clear
906: 1114  2026-05-26 19:03:03 ./part1gal02.sh 
907: 1115  2026-05-26 19:03:10 cat exposuregal02.txt 
908: 1116  2026-05-26 19:04:48 ls -l
909: 1117  2026-05-26 19:04:52 clear
910: 1118  2026-05-26 19:07:38 sudo chmod +x part2gal02.sh 
911: 1119  2026-05-26 19:07:43 ./part2gal02.sh 
912: 1120  2026-05-26 19:09:14 cat processgal02.html 
913: 1121  2026-05-26 19:11:06 ./part2gal02.sh 
914: 1122  2026-05-26 19:11:08 cat processgal02.html 
915: 1123  2026-05-26 19:11:26 ./part2gal02.sh 
916: 1124  2026-05-26 19:11:26 cat processgal02.html 
917: 1125  2026-05-26 19:12:29 ./part2gal02.sh 
918: 1126  2026-05-26 19:12:48 cat processgal02.html 
919: 1127  2026-05-26 19:14:19 ./part2gal02.sh 
920: 1128  2026-05-26 19:14:20 cat processgal02.html 
921: 1129  2026-05-26 19:14:49 ./part2gal02.sh 
922: 1130  2026-05-26 19:14:50 cat processgal02.html 
923: 1131  2026-05-26 19:16:12 ./part2gal02.sh 
924: 1132  2026-05-26 19:16:13 cat processgal02.html 
925: 1133  2026-05-26 19:17:45 ./part2gal02.sh 
926: 1134  2026-05-26 19:17:55 cat processgal02.html 
927: 1135  2026-05-26 19:19:07 ./part2gal02.sh 
928: 1136  2026-05-26 19:19:09 cat processgal02.html 
929: 1137  2026-05-26 19:19:58 ./part2gal02.sh 
930: 1138  2026-05-26 19:19:59 cat processgal02.html 
931: 1139  2026-05-26 19:20:10 id
932: 1140  2026-05-26 19:20:56 id | cut -d ' ' -f1,2
933: 1141  2026-05-26 19:22:07 ./part2gal02.sh 
934: 1142  2026-05-26 19:22:10 cat processgal02.html 
935: 1143  2026-05-26 19:22:41 uname --help
936: 1144  2026-05-26 19:23:28 ./part2gal02.sh 
937: 1145  2026-05-26 19:23:36 cat processgal02.html 
938: 1146  2026-05-26 19:24:09 ./part2gal02.sh 
939: 1147  2026-05-26 19:24:10 cat processgal02.html 
940: 1148  2026-05-26 19:25:00 ./part2gal02.sh 
941: 1149  2026-05-26 19:25:01 cat processgal02.html 
942: 1150  2026-05-26 19:25:19 ps aux
943: 1151  2026-05-26 19:25:27 ps aux | grep -E 'gal02'
944: 1152  2026-05-26 19:25:35 ps -aux | grep -E 'gal02'
945: 1153  2026-05-26 19:25:39 ps -aux 
946: 1154  2026-05-26 19:25:53 ps -aux | grep -E '^gal02'
947: 1155  2026-05-26 19:26:09 ps -aux | grep -E '^gal02' | wc -l
948: 1156  2026-05-26 19:26:18 ps -ax | grep -E '^gal02' | wc -l
